 C	14.95543168 -7.53167079 3.40000000
 C	4.71357027 -7.51353691 3.40000000
 C	-0.40725685 -7.50436269 3.40000000
 C	-10.64907661 -7.48606172 3.40000000
 C	-15.76991761 -7.47694320 3.40000000
 C	-26.01159961 -7.45870616 3.40000000
 C	39.18165365 -7.23372322 3.40000000
 C	28.93983389 -7.21542225 3.40000000
 C	23.81896512 -7.20641512 3.40000000
 C	13.57731089 -7.18806669 3.40000000
 C	8.45642860 -7.17890829 3.40000000
 C	-1.78537764 -7.16075859 3.40000000
 C	-6.90620475 -7.15158438 3.40000000
 C	-17.14785898 -7.13323594 3.40000000
 C	-22.26889329 -7.12427627 3.40000000
 C	37.80353286 -6.89011911 3.40000000
 C	32.68269186 -6.88100059 3.40000000
 C	22.44100986 -6.86276355 3.40000000
 C	17.32001722 -6.85363680 3.40000000
 C	7.07832133 -6.83545546 3.40000000
 C	1.95749422 -6.82628124 3.40000000
 C	-8.28432554 -6.80798027 3.40000000
 C	-13.40516654 -6.79886174 3.40000000
 C	-23.64701407 -6.78067217 3.40000000
 C	31.30458496 -6.53734079 3.40000000
 C	26.18371619 -6.52833366 3.40000000
 C	15.94189643 -6.51003270 3.40000000
 C	10.82106932 -6.50085848 3.40000000
 C	0.57937343 -6.48267713 3.40000000
 C	-4.54150886 -6.47351874 3.40000000
 C	-14.78327345 -6.45520195 3.40000000
 C	-19.90414222 -6.44619482 3.40000000
 C	35.04738775 -6.20293495 3.40000000
 C	24.80559540 -6.18472956 3.40000000
 C	19.68476828 -6.17555534 3.40000000
 C	9.44307240 -6.15737400 3.40000000
 C	4.32207975 -6.14824725 3.40000000
 C	-5.91957448 -6.12989881 3.40000000
 C	-11.04041548 -6.12078029 3.40000000
 C	-21.28226301 -6.10259072 3.40000000
 C	-26.40309012 -6.09341650 3.40000000
 C	33.66933603 -5.85925934 3.40000000
 C	28.54846725 -5.85025220 3.40000000
 C	18.30664750 -5.83195124 3.40000000
 C	13.18582038 -5.82277702 3.40000000
 C	2.94395896 -5.80464314 3.40000000
 C	-2.17686815 -5.79546893 3.40000000
 C	-12.41852238 -5.77712049 3.40000000
 C	-17.53944633 -5.76812918 3.40000000
 C	-27.78121091 -5.74981240 3.40000000
 C	37.41202847 -5.52488514 3.40000000
 C	27.17034647 -5.50664810 3.40000000
 C	22.04946417 -5.49748971 3.40000000
 C	11.80765793 -5.47934001 3.40000000
 C	6.68683082 -5.47016579 3.40000000
 C	-3.55482341 -5.45181735 3.40000000
 C	-8.67582994 -5.44274630 3.40000000
 C	-18.91751194 -5.42450926 3.40000000
 C	-24.03833906 -5.41533504 3.40000000
 C	36.03408709 -5.18117788 3.40000000
 C	30.91305279 -5.17221821 3.40000000
 C	20.67139856 -5.15386978 3.40000000
 C	15.55057145 -5.14469557 3.40000000
 C	5.30871003 -5.12656168 3.40000000
 C	0.18788292 -5.11738747 3.40000000
 C	-10.05393684 -5.09908650 3.40000000
 C	-15.17480562 -5.09007937 3.40000000
 C	-25.41645984 -5.07173094 3.40000000
 C	39.77677953 -4.84680368 3.40000000
 C	29.53493200 -4.82861411 3.40000000
 C	24.41410489 -4.81943989 3.40000000
 C	14.17240900 -4.80125855 3.40000000
 C	9.05152671 -4.79210015 3.40000000
 C	-1.19023787 -4.77378336 3.40000000
 C	-6.31107887 -4.76466484 3.40000000
 C	-16.55276087 -4.74642780 3.40000000
 C	-21.67375352 -4.73730105 3.40000000
 C	38.39867263 -4.50314389 3.40000000
 C	33.27780386 -4.49413675 3.40000000
 C	23.03614963 -4.47578833 3.40000000
 C	17.91515698 -4.46666157 3.40000000
 C	7.67346110 -4.44848022 3.40000000
 C	2.55263398 -4.43930601 3.40000000
 C	-7.68918578 -4.42100504 3.40000000
 C	-12.81005455 -4.41199791 3.40000000
 C	-23.05187431 -4.39369695 3.40000000
 C	31.89968307 -4.15053265 3.40000000
 C	26.77885595 -4.14135844 3.40000000
 C	16.53699454 -4.12322456 3.40000000
 C	11.41616742 -4.11405034 3.40000000
 C	1.17451319 -4.09570190 3.40000000
 C	-3.94638299 -4.08659920 3.40000000
 C	-14.18817534 -4.06839381 3.40000000
 C	-19.30900245 -4.05921959 3.40000000
 C	35.64249975 -3.81607112 3.40000000
 C	25.40073517 -3.79775434 3.40000000
 C	20.27990805 -3.78858012 3.40000000
 C	10.03821216 -3.77039877 3.40000000
 C	4.91721952 -3.76127202 3.40000000
 C	-5.32443471 -3.74292359 3.40000000
 C	-10.44530348 -3.73391645 3.40000000
 C	-20.68712324 -3.71561549 3.40000000
 C	-25.80795036 -3.70644127 3.40000000
 C	34.26443413 -3.47245120 3.40000000
 C	29.14360702 -3.46327698 3.40000000
 C	18.90174560 -3.44514310 3.40000000
 C	13.78091849 -3.43596888 3.40000000
 C	3.53909873 -3.41766791 3.40000000
 C	-1.58174227 -3.40854939 3.40000000
 C	-11.82342427 -3.39031235 3.40000000
 C	-16.94430656 -3.38115396 3.40000000
 C	-27.18611280 -3.36300426 3.40000000
 C	38.00714046 -3.13802131 3.40000000
 C	27.76548623 -3.11967288 3.40000000
 C	22.64460394 -3.11051448 3.40000000
 C	12.40279770 -3.09236477 3.40000000
 C	7.28197059 -3.08319057 3.40000000
 C	-2.95968364 -3.06484213 3.40000000
 C	-8.08071795 -3.05588246 3.40000000
 C	-18.32237217 -3.03753404 3.40000000
 C	-23.44319929 -3.02835982 3.40000000
